id,category,keywords,name,similar_games,involved_companies,platforms,release_dates,genres,themes
1301,0,"[1, 21, 31, 70, 301, 453, 558, 562, 563, 879, 1025, 1148, 1158, 1293, 1329, 1333, 1373, 1739, 1821, 1971, 2071, 2452, 2543, 2746, 2855, 2992, 3782, 4134, 4179, 4185, 4210, 4245, 4246, 4259, 4287, 4332, 4340, 4345, 4350, 4359, 4391, 4393, 4400, 4414, 4446, 4552, 4572, 4579, 4611, 4624, 4661, 4698, 4711, 4712, 4713, 4730, 4738, 4747, 4777, 4783, 4869, 4875, 4890, 4892, 4895, 4898, 4905, 4907, 4910, 4956, 4975, 4977, 4996, 5100, 5150, 5154, 5269, 5300, 5307, 5309, 5310, 5350, 5375, 5436, 5451, 5455, 5468, 5479, 5500, 5523, 5530, 5552, 5554, 5775, 5782, 5783, 5789, 5791, 5813, 5827, 5850, 5886, 5904, 5941, 6021, 6024, 6036, 6135, 6196, 6216, 6237, 6240, 6244, 6245, 6249, 6254, 6295, 6296, 6298, 6300, 6301, 6305, 6308, 6352, 6363, 6374, 6490, 6581, 6589, 6624, 6625, 6628, 6635, 6659, 6694, 6744, 6767, 6829, 7025, 7038, 7040, 7041, 7091, 7115, 7494, 7515, 7621, 8917, 8920, 8921, 9072, 9311, 9382, 9422, 9423, 9529, 9530, 9813, 9905, 9928, 10211, 10370, 10371, 10460, 10502, 10507, 10602, 10617, 11247, 11396, 11414, 11419, 11423, 11531, 11637, 11699, 12004, 12022, 12116, 12123, 12278, 12279, 12284, 12294, 12435, 12442, 13109, 13342, 13572, 13595, 14291, 14862, 16587, 22656, 22657]",Tom Clancy's Ghost Recon Advanced Warfighter 2,"[241, 277, 451, 564, 621, 623, 1294, 1853, 5812, 9495]","[3373, 3374, 3375, 3376, 3377]","[6, 9, 12, 38]","[3470, 3471, 3472, 3473, 106453, 106454, 106455]","[5, 13, 15, 24]","[1, 39]"
111819,0,[3171],Cat Lady,"[32510, 56135, 60693, 64902, 80213, 86922, 86952, 88938, 89098]",[71373],"[34, 39]","[160868, 160869]",,
100841,0,[101],Helix Bounce Space,"[19902, 101437, 101544, 101641, 101943, 114757, 115539, 116031, 116683]",,,,,
21241,0,"[1033, 2152, 4134, 6703, 11209, 12953]",Rainbow Islands: Towering Adventure!,"[17130, 18869, 20329, 23733, 36198, 56510, 67845, 75240, 77663, 80916]",[61458],[5],"[232246, 232247, 232248]",,
94986,0,,The I of the Dragon,"[22790, 54775, 69007, 87485, 96217, 99118, 112191, 113636, 113910, 115653]",,,,"[12, 13]",[17]
86659,0,,Brave Frontier 2,,,,,,
70109,0,"[67, 575, 970, 1097, 1345, 1375, 1705, 1986, 2049, 4161, 4163, 4169, 4239, 4287, 4374, 4391, 4446, 4620, 4910, 5698, 6452, 7235]",Electro Man,"[1741, 24426, 26226, 55038, 55190, 57187, 58114, 63138, 89597]",,[13],"[168502, 168503]",[8],"[1, 18]"
112681,0,,The Shell of Permafrost,"[17350, 49414, 51213, 56036, 75813, 80916, 96217, 98469, 106987, 113402]","[74894, 74895]",[6],[165599],"[12, 32]",
121720,0,,Wimbledon '88,"[14733, 109606, 116343, 116349, 116350, 116351, 116352, 116353, 120795]",[83033],[65],[174320],[14],
25685,0,,Memory's Dogma CODE:01,"[25311, 28070, 28277, 37419, 55282, 75948, 92919, 105269, 106992, 111130]",[47275],[6],[70734],"[31, 32, 34]",[18]
120594,0,,Rocket Boy,"[28277, 37419, 55282, 75948, 87514, 87975, 96217, 106992, 111130, 115785]",[83805],,,"[10, 31, 32]",
62980,0,"[26, 4134, 4521, 5347]",Perfect Kick,"[701, 15851, 18681, 100359, 106814, 114286, 114287, 116353, 119422]",,,,[14],
13705,0,,Commonwealth Games,"[14733, 109606, 116343, 116349, 116350, 116351, 116352, 116353, 120795]",,[69],[39280],[14],
153116,1,,Trainz Railroad Simulator 2019: GT GP9 2 Pack,"[28277, 65827, 87485, 100794, 100806, 101573, 105264, 106008, 112754, 114766]",,"[6, 14]","[292370, 292371]",[13],
112972,0,,Plat4mer,"[32902, 37419, 40524, 76263, 96217, 105233, 111130, 113895, 119121, 119493]",,,,[32],[1]
62297,0,"[26, 27]",Legends Football '98,"[701, 15851, 18681, 57738, 100359, 103377, 106814, 114287, 119422]",,,,[14],
86456,0,,Battlezone 2 Remastered,,,,,,
17436,0,"[78, 288, 477, 962, 1158, 1315, 1494, 2049, 4004, 4134, 4161, 4465]",Momodora III,"[3222, 18182, 19150, 24426, 28070, 36198, 55173, 55190, 56033, 96217]",[32198],[6],[47663],"[8, 32]","[1, 17]"
7075,0,[174],Monster Hunter Frontier Online,"[28010, 54775, 81249, 96217, 99118, 103168, 103303, 106987, 113109, 119244]",[16725],"[6, 12]","[17741, 17742]","[12, 25]","[1, 17]"
95785,0,,VR Time Machine Dinosaur Park (+ Cardboard),,,,,,
21786,0,,Family Game Night 2,,,,,,
74883,1,,Kick Off: Extra Time,"[102122, 103218, 109606, 114286, 114287, 116349, 116350, 116352, 116353, 121435]",[56154],"[16, 63]","[124094, 124095]",[14],[32]
69990,0,"[1027, 1148, 1656, 1834, 4514]",Paparazzi!: Tales of Tinseltown,"[17548, 25311, 26145, 35371, 35994, 37419, 51945, 81680, 105011, 111130]","[127932, 127933]","[6, 14]","[242747, 242748]","[13, 31]",[1]
153107,1,,Trainz Railroad Simulator 2019: Niddertalbahn (TRS19),"[28277, 65827, 87485, 100794, 100806, 101573, 105264, 106008, 112754, 114766]",,"[6, 14]","[292350, 292352]",[13],
65410,0,"[14, 2387, 4142]",One Piece Treasure Battle,"[19565, 26950, 44858, 63941, 63948, 63949, 63952, 65592, 66409]",[84126],,,,
85757,0,,"Näkemiin, Hongkong",,,,,,
67400,0,"[934, 4504]",El Dorado Denki,"[77058, 77097, 78721, 79182, 79357, 79507, 80324, 80734, 80788]",,,,[30],
7182,0,,"Scene It? Lights, Camera, Action","[28472, 52432, 63933, 103402, 112889, 116896, 127485, 144785, 152485, 169134]","[16997, 16998, 16999]",[12],[18214],[26],[40]
25409,0,"[415, 521, 2426, 25527]",Phantasia,"[22387, 47823, 80916, 81249, 96217, 106987, 109339, 113360, 115653]","[109046, 109047]",[6],[211894],"[12, 31, 32]",[17]
140884,0,"[1435, 1761, 17069, 29104, 29136]",Ball,"[15851, 25640, 43367, 87728, 89025, 112078, 113895, 117939, 120268, 121036]",[112709],[307],"[217628, 217629]",[33],[1]
33874,0,"[1140, 4517]",The Book of Desires,"[27092, 27725, 81249, 81275, 96217, 103303, 106987, 113360, 115653, 116530]","[122065, 122066]",[6],[78732],[31],"[17, 43]"
81263,6,,Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay,"[55038, 55199, 55984, 81249, 96217, 101608, 103303, 103369, 106987, 113360]",[88900],[5],"[231859, 231860]","[2, 31]","[1, 17, 31]"
96955,0,,Trivia Vault: Tennis Trivia,"[25946, 37419, 76263, 81680, 101573, 112078, 113895, 118871, 120268, 121758]",[72764],[6],[237264],[13],[1]
82177,0,,Hidden Object: Candy Crunch,,,,,,
70215,0,,Lions of the Universe,"[35995, 100800, 103301, 103302, 107155, 112589, 113895, 115276, 120268]",,,,,[1]
34620,4,"[1034, 1360]",Dawn of War II: Retribution – The Last Stand,"[8773, 9760, 17130, 24620, 25311, 34024, 55029, 68287, 102057]","[48044, 48045]","[3, 6, 14]","[72186, 72187, 189858]",[15],"[18, 21, 39]"
29292,0,"[94, 846, 1027, 1158, 4134]",Happy Campers,"[13189, 25222, 26163, 26870, 27301, 41895, 59048, 59173, 59218, 90825]",[90299],"[3, 6, 14]","[84854, 84855, 84856]","[31, 32, 34]",[42]
31252,0,,Water Heroes: A Game for Change,"[65827, 75948, 94741, 106992, 111043, 113895, 115850, 119788, 120028, 121309]",,"[6, 14]","[74430, 74431]",[32],
160260,0,,Freelancer Life Simulator,"[25311, 28277, 37419, 65827, 75948, 79134, 81680, 87975, 106992, 109339]",,,,"[13, 31, 32]",
